,player_name,B,S,batter_team
334,Kole Calhoun-CLE,2.0,1.0,CLE
335,Kolten Wong-SEA,16.0,23.0,SEA
336,Kris Bryant-COL,27.0,11.0,COL
337,Kyle Farmer-MIN,17.0,11.0,MIN
338,Kyle Garlick-MIN,2.0,3.0,MIN
339,Kyle Higashioka-NYY,13.0,12.0,NYY
340,Kyle Isbel-KC,15.0,15.0,KC
341,Kyle Lewis-AZ,6.0,3.0,AZ
342,Kyle Schwarber-PHI,40.0,48.0,PHI
343,Kyle Stowers-BAL,2.0,4.0,BAL
344,Kyle Tucker-HOU,25.0,51.0,HOU
345,LaMonte Wade Jr.-SF,37.0,29.0,SF
346,Lane Thomas-WSH,53.0,22.0,WSH
347,Lars Nootbaar-STL,38.0,36.0,STL
348,Leody Taveras-TEX,38.0,24.0,TEX
349,Liover Peguero-PIT,10.0,4.0,PIT
350,Logan O'Hoppe-LAA,7.0,4.0,LAA
351,Lourdes Gurriel-AZ,32.0,27.0,AZ
352,Luis Arraez-MIA,35.0,28.0,MIA
353,Luis Campusano-SD,8.0,1.0,SD
354,Luis Garcia-WSH,48.0,11.0,WSH
355,Luis Guillorme-NYM,13.0,9.0,NYM
356,Luis Matos-SF,14.0,5.0,SF
357,Luis Rengifo-LAA,35.0,22.0,LAA
358,Luis Robert-CWS,29.0,18.0,CWS
359,Luis Urias-BOS,2.0,3.0,BOS
360,Luis Urias-MIL,10.0,7.0,MIL
361,Luke Maile-CIN,19.0,9.0,CIN
362,Luke Raley-TB,16.0,16.0,TB
363,Luke Voit-MIL,11.0,6.0,MIL
364,Luke Williams-LAD,3.0,0.0,LAD
365,MJ Melendez-KC,30.0,31.0,KC
366,Maikel Garcia-KC,38.0,17.0,KC
367,Manny Machado-SD,34.0,43.0,SD
368,Manny Pina-OAK,2.0,1.0,OAK
369,Manuel Margot-TB,20.0,17.0,TB
370,Marcell Ozuna-ATL,40.0,29.0,ATL
371,Marcus Semien-TEX,49.0,28.0,TEX
372,Mark Canha-MIL,2.0,3.0,MIL
373,Mark Canha-NYM,31.0,13.0,NYM
374,Mark Mathias-PIT,7.0,3.0,PIT
375,Mark Mathias-SF,1.0,1.0,SF
376,Mark Vientos-NYM,13.0,4.0,NYM
377,Martin Maldonado-HOU,19.0,26.0,HOU
378,Masataka Yoshida-BOS,36.0,35.0,BOS
379,Matt Beaty-KC,1.0,3.0,KC
380,Matt Carpenter-SD,21.0,25.0,SD
381,Matt Chapman-TOR,50.0,35.0,TOR
382,Matt Duffy-KC,12.0,15.0,KC
383,Matt McLain-CIN,46.0,37.0,CIN
384,Matt Mervis-CHC,8.0,6.0,CHC
385,Matt Olson-ATL,34.0,32.0,ATL
386,Matt Reynolds-CIN,1.0,0.0,CIN
387,Matt Thaiss-LAA,19.0,23.0,LAA
388,Matt Vierling-DET,33.0,29.0,DET
389,Matt Wallner-MIN,9.0,15.0,MIN
390,Matthew Batten-SD,5.0,1.0,SD
391,Mauricio Dubon-HOU,21.0,9.0,HOU
392,Max Kepler-MIN,27.0,24.0,MIN
393,Max Muncy-LAD,41.0,43.0,LAD
394,Meibrys Viloria-CLE,0.0,2.0,CLE
395,Michael Brosseau-MIL,7.0,7.0,MIL
396,Michael Busch-LAD,6.0,2.0,LAD
397,Michael Chavis-WSH,2.0,8.0,WSH
398,Michael Conforto-SF,44.0,22.0,SF
399,Michael Harris II-ATL,23.0,17.0,ATL
400,Michael Massey-KC,25.0,17.0,KC
401,Michael Perez-NYM,0.0,1.0,NYM
402,Michael Stefanic-LAA,2.0,1.0,LAA
403,Michael Taylor-MIN,26.0,19.0,MIN
404,Michael Toglia-COL,11.0,6.0,COL
405,Mickey Moniak-LAA,10.0,13.0,LAA
406,Miguel Amaya-CHC,11.0,14.0,CHC
407,Miguel Andujar-PIT,2.0,2.0,PIT
408,Miguel Cabrera-DET,16.0,17.0,DET
409,Miguel Rojas-LAD,25.0,13.0,LAD
410,Miguel Vargas-LAD,27.0,17.0,LAD
411,Mike Ford-SEA,17.0,11.0,SEA
412,Mike Moustakas-COL,11.0,14.0,COL
413,Mike Moustakas-LAA,7.0,8.0,LAA
414,Mike Tauchman-CHC,19.0,20.0,CHC
415,Mike Trout-LAA,24.0,33.0,LAA
416,Mike Yastrzemski-SF,36.0,19.0,SF
417,Mike Zunino-CLE,12.0,23.0,CLE
418,Miles Mastrobuoni-CHC,17.0,11.0,CHC
419,Mitch Garver-TEX,17.0,15.0,TEX
420,Mitch Haniger-SF,12.0,10.0,SF
421,Mookie Betts-LAD,44.0,26.0,LAD
422,Myles Straw-CLE,29.0,42.0,CLE
423,Nate Eaton-KC,7.0,4.0,KC
424,Nate Lowe-TEX,40.0,34.0,TEX
425,Nelson Cruz-SD,11.0,9.0,SD
426,Nelson Velazquez-CHC,1.0,2.0,CHC
427,Nelson Velazquez-KC,0.0,1.0,KC
428,Nick Ahmed-AZ,19.0,10.0,AZ
429,Nick Allen-OAK,27.0,14.0,OAK
430,Nick Castellanos-PHI,31.0,30.0,PHI
431,Nick Fortes-MIA,24.0,15.0,MIA
432,Nick Gonzales-PIT,9.0,7.0,PIT
433,Nick Gordon-MIN,7.0,12.0,MIN
434,Nick Madrigal-CHC,35.0,12.0,CHC
435,Nick Maton-DET,22.0,19.0,DET
436,Nick Pratto-KC,35.0,20.0,KC
437,Nick Senzel-CIN,27.0,18.0,CIN
438,Nicky Lopez-ATL,0.0,2.0,ATL
439,Nicky Lopez-KC,13.0,13.0,KC
440,Nico Hoerner-CHC,44.0,35.0,CHC
441,Nolan Arenado-STL,45.0,25.0,STL
442,Nolan Gorman-STL,27.0,24.0,STL
443,Nolan Jones-COL,24.0,17.0,COL
444,Omar Narvaez-NYM,5.0,3.0,NYM
445,Oneil Cruz-PIT,3.0,4.0,PIT
446,Orlando Arcia-ATL,24.0,30.0,ATL
447,Oscar Colas-CWS,8.0,4.0,CWS
448,Oscar Gonzalez-CLE,5.0,6.0,CLE
449,Oscar Mercado-STL,0.0,2.0,STL
450,Oswald Peraza-NYY,6.0,1.0,NYY
451,Oswaldo Cabrera-NYY,12.0,14.0,NYY
452,Owen Miller-MIL,24.0,25.0,MIL
453,Ozzie Albies-ATL,30.0,34.0,ATL
454,Pablo Reyes-BOS,11.0,7.0,BOS
455,Patrick Bailey-SF,18.0,18.0,SF
456,Patrick Wisdom-CHC,27.0,30.0,CHC
457,Paul DeJong-STL,20.0,16.0,STL
458,Paul DeJong-TOR,3.0,1.0,TOR
459,Paul Goldschmidt-STL,32.0,33.0,STL
460,Pavin Smith-AZ,15.0,21.0,AZ
461,Pete Alonso-NYM,45.0,36.0,NYM
462,Peyton Burdick-MIA,2.0,2.0,MIA
463,Rafael Devers-BOS,27.0,22.0,BOS
464,Rafael Ortega-NYM,4.0,0.0,NYM
465,Raimel Tapia-BOS,4.0,7.0,BOS
466,Raimel Tapia-MIL,3.0,5.0,MIL
467,Ramon Laureano-CLE,2.0,2.0,CLE
468,Ramon Laureano-OAK,18.0,27.0,OAK
469,Ramon Urias-BAL,20.0,14.0,BAL
470,Randal Grichuk-COL,16.0,15.0,COL
471,Randal Grichuk-LAA,4.0,6.0,LAA
472,Randy Arozarena-TB,48.0,37.0,TB
473,Reese McGuire-BOS,7.0,5.0,BOS
474,Rene Pinto-TB,1.0,1.0,TB
475,Riley Adams-WSH,9.0,6.0,WSH
476,Riley Greene-DET,39.0,32.0,DET
477,Rob Refsnyder-BOS,18.0,16.0,BOS
478,Robbie Grossman-TEX,47.0,24.0,TEX
479,Roberto Perez-SF,1.0,2.0,SF
480,Rodolfo Castro-PIT,11.0,17.0,PIT
481,Romy Gonzalez-CWS,8.0,4.0,CWS
482,Ronald Acuna-ATL,32.0,54.0,ATL
483,Rougned Odor-SD,6.0,16.0,SD
484,Rowdy Tellez-MIL,17.0,24.0,MIL
485,Royce Lewis-MIN,5.0,3.0,MIN
486,Ryan Jeffers-MIN,15.0,13.0,MIN
487,Ryan Kreidler-DET,2.0,1.0,DET
488,Ryan McKenna-BAL,12.0,9.0,BAL
489,Ryan McMahon-COL,34.0,64.0,COL
490,Ryan Mountcastle-BAL,34.0,15.0,BAL
491,Ryan Noda-OAK,32.0,41.0,OAK
492,Ryan O'Hearn-BAL,22.0,8.0,BAL
493,Sal Frelick-MIL,13.0,10.0,MIL
494,Salvador Perez-KC,19.0,13.0,KC
495,Sam Haggerty-SEA,5.0,5.0,SEA
496,Sam Hilliard-ATL,6.0,10.0,ATL
497,Sam Huff-TEX,4.0,3.0,TEX
498,Samad Taylor-KC,5.0,3.0,KC
499,Sandy Leon-TEX,4.0,3.0,TEX
500,Santiago Espinal-TOR,23.0,7.0,TOR
501,Sean Murphy-ATL,28.0,21.0,ATL
502,Seby Zavala-CWS,8.0,10.0,CWS
503,Seiya Suzuki-CHC,44.0,54.0,CHC
504,Seth Brown-OAK,10.0,13.0,OAK
505,Shea Langeliers-OAK,29.0,32.0,OAK
506,Shelby Miller-LAD,1.0,0.0,LAD
507,Shohei Ohtani-LAA,58.0,98.0,LAA
508,Spencer Horwitz-TOR,1.0,0.0,TOR
509,Spencer Steer-CIN,40.0,35.0,CIN
510,Spencer Torkelson-DET,42.0,39.0,DET
511,Starling Marte-NYM,22.0,11.0,NYM
512,Steven Kwan-CLE,49.0,42.0,CLE
513,Stone Garrett-WSH,17.0,9.0,WSH
514,Stuart Fairchild-CIN,13.0,11.0,CIN
515,TJ Friedl-CIN,22.0,29.0,CIN
516,Taylor Motter-STL,9.0,3.0,STL
517,Taylor Trammell-SEA,5.0,7.0,SEA
518,Taylor Walls-TB,22.0,29.0,TB
519,Taylor Ward-LAA,29.0,33.0,LAA
520,Teoscar Hernandez-SEA,43.0,21.0,SEA
521,Terrin Vavra-BAL,5.0,5.0,BAL
522,Thairo Estrada-SF,36.0,13.0,SF
523,Tim Anderson-CWS,17.0,21.0,CWS
524,Tim Locastro-NYM,1.0,1.0,NYM
525,Tom Murphy-SEA,9.0,6.0,SEA
526,Tomas Nido-NYM,1.0,4.0,NYM
527,Tommy Edman-STL,25.0,23.0,STL
528,Tommy La Stella-SEA,0.0,3.0,SEA
529,Tommy Pham-AZ,5.0,3.0,AZ
530,Tommy Pham-NYM,16.0,13.0,NYM
531,Tony Kemp-OAK,25.0,14.0,OAK
