,player_name,B,S,ball,called_strike,missed_call_dre_B,missed_call_dre_S,batter_team
219,Isan Diaz-SF,1.0,3.0,23.0,17.0,-0.07500000000000001,0.9099999999999999,SF
220,Isiah Kiner-Falefa-NYY,15.0,29.0,381.0,229.0,-1.058,3.4970000000000003,NYY
221,Ivan Herrera-STL,1.0,3.0,44.0,21.0,-0.054000000000000006,0.36400000000000005,STL
222,J.D. Davis-SF,23.0,28.0,551.0,176.0,-3.951,4.29,SF
223,J.D. Martinez-LAD,40.0,18.0,460.0,194.0,-6.186999999999999,2.205,LAD
224,J.P. Crawford-SEA,29.0,49.0,769.0,387.0,-4.029,6.364999999999998,SEA
225,J.T. Realmuto-PHI,32.0,31.0,506.0,237.0,-3.3869999999999996,3.165000000000001,PHI
226,JJ Bleday-OAK,30.0,21.0,435.0,178.0,-4.711000000000001,2.99,OAK
227,Jace Peterson-AZ,2.0,5.0,52.0,27.0,-0.18400000000000002,0.758,AZ
228,Jace Peterson-OAK,31.0,24.0,441.0,276.0,-4.664999999999999,2.449000000000001,OAK
229,Jack Suwinski-PIT,43.0,25.0,649.0,352.0,-7.602,3.186,PIT
230,Jackie Bradley Jr.-KC,4.0,16.0,121.0,59.0,-0.37300000000000005,2.178,KC
231,Jacob Amaya-MIA,0.0,2.0,8.0,5.0,0.0,0.197,MIA
232,Jacob Stallings-MIA,22.0,14.0,268.0,153.0,-2.9250000000000003,1.5220000000000002,MIA
233,Jahmai Jones-MIL,2.0,1.0,17.0,8.0,-0.368,0.10900000000000001,MIL
234,Jake Alu-WSH,1.0,1.0,54.0,30.0,-0.036000000000000004,0.09,WSH
235,Jake Bauers-NYY,21.0,21.0,346.0,163.0,-2.538,2.8880000000000003,NYY
236,Jake Burger-CWS,15.0,30.0,359.0,169.0,-1.637,4.388000000000001,CWS
237,Jake Burger-MIA,3.0,5.0,69.0,23.0,-0.19400000000000003,0.32399999999999995,MIA
238,Jake Cave-PHI,7.0,8.0,161.0,83.0,-0.906,0.67,PHI
239,Jake Cronenworth-SD,35.0,24.0,621.0,335.0,-5.422000000000001,3.5950000000000006,SD
240,Jake Fraley-CIN,16.0,17.0,406.0,145.0,-1.5830000000000002,2.307,CIN
241,Jake Lamb-LAA,3.0,1.0,76.0,35.0,-1.101,0.111,LAA
242,Jake Marisnick-DET,8.0,4.0,71.0,40.0,-1.1099999999999999,0.656,DET
243,Jake Marisnick-LAD,1.0,0.0,9.0,5.0,-0.111,0.0,LAD
244,Jake McCarthy-AZ,19.0,17.0,342.0,156.0,-1.8690000000000002,2.598,AZ
245,Jake Meyers-HOU,23.0,21.0,389.0,183.0,-2.779,4.4,HOU
246,Jake Rogers-DET,16.0,19.0,351.0,191.0,-1.5070000000000001,2.7670000000000003,DET
247,James McCann-BAL,8.0,10.0,174.0,87.0,-1.524,0.803,BAL
248,James Outman-LAD,37.0,26.0,591.0,261.0,-4.928,4.565000000000001,LAD
249,Jared Walsh-LAA,4.0,6.0,120.0,58.0,-0.316,1.022,LAA
250,Jared Young-CHC,0.0,5.0,53.0,20.0,0.0,0.524,CHC
251,Jarred Kelenic-SEA,20.0,28.0,489.0,219.0,-2.361,3.8489999999999998,SEA
252,Jarren Duran-BOS,34.0,14.0,419.0,203.0,-4.829999999999999,1.739,BOS
253,Jason Delay-PIT,6.0,6.0,139.0,74.0,-0.6080000000000001,0.755,PIT
254,Jason Heyward-LAD,13.0,20.0,366.0,185.0,-2.001,2.557,LAD
255,Jason Vosler-CIN,4.0,5.0,94.0,41.0,-0.76,0.9490000000000001,CIN
256,Javier Baez-DET,21.0,25.0,447.0,211.0,-2.261,2.7080000000000006,DET
257,Jazz Chisholm-MIA,25.0,22.0,313.0,154.0,-2.956,2.7470000000000003,MIA
258,Jean Segura-MIA,23.0,13.0,372.0,220.0,-3.0040000000000004,1.956,MIA
259,Jeff McNeil-NYM,27.0,30.0,553.0,210.0,-3.2339999999999995,3.0140000000000007,NYM
260,Jeimer Candelario-CHC,4.0,5.0,63.0,34.0,-0.8869999999999999,1.204,CHC
